time,sleep,leave,mouth,blink,normal
2022-08-14 23:24:55.234619,0,0,0,0,1
2022-08-14 23:24:55.587461,0,0,0,0,1
2022-08-14 23:24:55.755016,0,0,0,0,1
2022-08-14 23:24:55.922688,0,0,0,0,1
2022-08-14 23:24:56.090141,0,0,0,0,1
2022-08-14 23:24:56.260410,0,0,0,0,1
2022-08-14 23:24:56.430735,0,0,0,0,1
2022-08-14 23:24:56.585438,0,0,0,0,1
2022-08-14 23:24:56.763721,0,0,0,0,1
2022-08-14 23:24:56.949002,0,0,0,0,1
2022-08-14 23:24:57.115994,0,0,0,0,1
2022-08-14 23:24:57.247223,0,0,0,0,1
2022-08-14 23:24:57.385248,0,0,0,0,1
2022-08-14 23:24:57.516051,0,0,0,0,1
2022-08-14 23:24:57.650580,0,0,0,0,1
2022-08-14 23:24:57.783801,0,0,0,0,1
2022-08-14 23:24:57.910731,0,0,0,0,1
2022-08-14 23:24:58.047894,0,0,0,0,1
2022-08-14 23:24:58.181845,0,0,0,0,1
2022-08-14 23:24:58.310837,0,0,0,0,1
2022-08-14 23:24:58.444837,0,0,0,0,1
2022-08-14 23:24:58.444837,0,0,0,1,0
2022-08-14 23:24:58.578707,0,0,0,0,1
2022-08-14 23:24:58.578707,0,0,0,1,0
2022-08-14 23:24:58.710345,0,0,0,0,1
2022-08-14 23:24:58.710345,0,0,0,1,0
2022-08-14 23:24:58.848680,0,0,0,0,1
2022-08-14 23:24:59.015580,0,0,0,0,1
2022-08-14 23:24:59.015580,0,0,0,1,0
2022-08-14 23:24:59.179003,0,0,0,0,1
2022-08-14 23:24:59.309255,0,0,0,0,1
2022-08-14 23:24:59.451377,0,0,0,0,1
2022-08-14 23:24:59.620495,0,0,0,0,1
2022-08-14 23:24:59.778026,0,0,0,0,1
2022-08-14 23:24:59.912933,0,0,0,0,1
2022-08-14 23:25:00.045055,0,0,0,0,1
2022-08-14 23:25:00.209763,0,0,0,0,1
2022-08-14 23:25:00.380818,0,0,0,0,1
2022-08-14 23:25:00.537220,0,0,0,0,1
2022-08-14 23:25:00.709176,0,0,0,0,1
2022-08-14 23:25:00.709176,0,0,0,1,0
2022-08-14 23:25:00.874357,0,0,0,0,1
2022-08-14 23:25:01.007803,0,0,0,0,1
2022-08-14 23:25:01.007803,0,0,0,1,0
2022-08-14 23:25:01.174259,0,0,0,0,1
2022-08-14 23:25:01.305624,0,0,0,0,1
2022-08-14 23:25:01.439779,0,0,0,0,1
2022-08-14 23:25:01.439779,0,0,0,1,0
2022-08-14 23:25:01.613924,0,0,0,0,1
2022-08-14 23:25:01.613924,0,0,0,1,0
2022-08-14 23:25:01.773019,0,0,0,0,1
2022-08-14 23:25:01.773019,0,0,0,1,0
